0|1050.119805|84043
2|1508.573631|119483
3|792.101326|66925
4|1133.396178|88398
5|345.908329|28714
6|692.734269|61769
7|1988.414039|144310
8|291.56339|25306
9|724.148718|59072
10|3396.038562|216890
11|394.716644|32963
12|197.001639|17225
13|469.850957|42577
14|2013.957507|149956
16|211.469632|20034
17|349.764657|28565
18|133.11952|11371
19|1025.7214|88939
20|79.335303|8673
21|1101.428397|91598
22|290.447103|25354
24|2083.471976|166084
25|2659.035034|207596
26|1460.088355|131301
27|1013.503091|87705
28|683.15323|51538
29|1455.756499|110246
30|11150.00798|652663
31|1373.639853|105461
32|616.549148|56446
33|1960.053063|131127
34|727.583346|59631
35|1011.219007|83044
36|2429.971304|195849
37|114.892623|9391
38|3883.993644|284630
39|378.488552|29030
40|1257.268521|89200
41|3775.326215|322559
42|379.058843|34403
43|215.457703|18693
44|2151.824511|159964
45|371.490207|31370
46|601.996723|46405
47|2329.138131|169625
48|521.234636|42326
49|4093.633355|280668
50|234.571888|21636
51|3073.485401|207132
52|4682.068655|287412
53|2474.571541|173748
54|802.300279|65435
55|2894.204831|214442
56|513.320848|34919
57|1909.468573|147915
58|288.806641|24455
59|1203.679552|92333
