0|60.189239|752
1|2.943512|204
2|2.286967|166
3|28.557251|485
4|1.81443|88
5|5.891034|169
6|1.790958|107
7|1.956842|131
8|1.851225|64
9|1.602275|113
10|50.853613|803
11|1.807139|96
12|1.338208|85
13|1.665521|98
14|471.82938|5653
15|2.548466|199
16|4.856651|131
17|1.754107|102
18|3.825529|142
19|1.791101|114
20|20.348291|340
21|1.457439|109
22|16.31129|248
23|3.98448|223
24|1.590921|138
25|1.993642|166
26|8.157969|296
27|1.480451|108
28|64.831019|796
29|345.310506|5795
30|711.777827|9939
31|3.026315|149
32|2.681799|133
33|184.512457|3079
34|1.510043|94
35|85.529649|1067
36|2.083738|133
37|1.41852|67
38|2.178954|154
39|43.138835|671
40|3.117899|163
41|87.104143|1408
42|1.714376|105
43|43.282495|660
44|43.425448|732
45|11.802718|284
46|145.991426|1869
47|1.861927|140
48|34.984947|567
49|349.878922|4269
50|43.65083|578
51|128.539757|1666
52|6.249199|228
53|106.545425|1765
54|2.385741|129
55|759.272586|7160
56|17.337022|313
57|11.363064|270
58|1.404409|84
59|3.010946|144
